Movie_Title,Release_Year,Genre,IMDB_Rating,OTT_Platform,Country,BoxOffice_Revenue_MillionUSD
Dragon's Flight,2016,Fantasy,8.1,Hotstar,UK,263.42
Mystic River,1995,Animation,8.5,Disney+,Canada,45.65
Redemption,1997,Sci-Fi,7.9,Hulu,France,110.7
Shattered Glass,2022,Drama,8.6,Hotstar,India,139.98
Golden Path,2013,Fantasy,5,Netflix,India,689.9
Nightfall,1998,Horror,6.3,Netflix,Canada,770.38
Crystal Lake,1999,Drama,6.4,Hotstar,India,562.48
Blooming Day,2001,Comedy,6.3,Disney+,France,634.88
Silver Arrow,1990,Action,6.7,Disney+,South Korea,325.21
Celestial Dreams,2025,Sci-Fi,5.6,Netflix,UK,149.87
Crimson Tide,2019,Horror,9.3,Hotstar,Canada,848.92
Aurora Sky,2015,Thriller,8.8,Amazon Prime,South Korea,523.47
River of Stars,2014,Drama,8,Hotstar,Germany,8.33
Frozen Tears,2018,Romance,9.7,Hotstar,Canada,94.73
Silent Storm,2008,Sci-Fi,8.9,Hotstar,India,523.37
Silent Lagoon,2019,Fantasy,8.3,Disney+,USA,687.59
Hidden Valley,1992,Horror,9.3,Disney+,USA,464.01
Emerald Skies,1994,Documentary,7.4,Amazon Prime,Brazil,705.61
Shadow Realm,2001,Thriller,5.1,Hulu,Japan,37.32
Eternal Light,2007,Documentary,4.4,Hotstar,Germany,372.38
Crystal Cave,2008,Fantasy,6.5,Amazon Prime,Germany,55.01
Winds of Change,1993,Action,4.8,Disney+,Australia,871.88
Broken Dawn,2003,Documentary,9.8,Hotstar,Japan,781.54
Neon Dreams,1990,Sci-Fi,8.7,Disney+,South Korea,799.85
Violet Dawn,1993,Sci-Fi,7,Hotstar,Canada,235.91
Moon Rise,2005,Sci-Fi,4.4,Hotstar,Australia,721.1
Winter Solace,2001,Documentary,4.4,Hotstar,Canada,686.91
Whispered Secret,2004,Animation,7.8,Hulu,Brazil,282.47
Whispering Woods,2011,Romance,8.5,Amazon Prime,UK,167.75
Moonlight Echo,1993,Action,7.3,Hotstar,Canada,829.97
Final Hour,2017,Comedy,8.2,Hulu,Germany,140.48
Golden Rain,2017,Sci-Fi,4.1,Amazon Prime,South Korea,356.15
Deep Blue,1993,Documentary,5.5,Netflix,Japan,888.44
Shadow Whisper,1992,Action,5.8,Hulu,India,651.55
Lone Survivor,2013,Sci-Fi,8.6,Hulu,France,429.08
Lost Souls,2021,Thriller,4.9,Hotstar,Japan,497.85
Desert Storm,2005,Romance,7.7,Hulu,UK,201.45
Frostbound,1990,Sci-Fi,5.6,Amazon Prime,France,437.91
Urban Legend,1998,Comedy,5.6,Hotstar,India,317.74
Silent Voyage,2023,Action,6.7,Amazon Prime,South Korea,522.61
Silver Lining,1990,Horror,7,Amazon Prime,Australia,104.28
Misty River,2014,Documentary,8.4,Hulu,Brazil,318.94
Fading Lights,1997,Fantasy,8.1,Hotstar,France,602.44
Twilight Dreams,2010,Action,7.4,Amazon Prime,France,65.69
Steel Heart,2020,Fantasy,5.2,Netflix,France,792.09
Falling Star,1996,Thriller,9.3,Netflix,India,100.53
Burning Sea,2019,Animation,6.8,Amazon Prime,Japan,595.51
Scarlet Letter,1996,Animation,8.2,Amazon Prime,UK,771.21
Secret Garden,2001,Drama,4.7,Hulu,India,145.43
Starlight Sonata,1991,Thriller,7.9,Netflix,Brazil,451.16
Caged Bird,2006,Fantasy,4.5,Hulu,France,418.29
Hidden Truths,2008,Animation,5.7,Amazon Prime,South Korea,398.16
Scarlet Sky,1996,Animation,4.4,Disney+,India,461.49
